id,loc,type,dest,dist,chain
0,"-6.2244941851538576, 106.80443493777844",street,"1,12,8","4.7, 28, 5","3,8,11"
1,"-6.224072816430017, 106.80408518180998",street,2,4,"3,8"
2,"-6.223906665421917, 106.80395734676787",street,"3,4","3.2,3","3,8"
3,"-6.2239937293205845, 106.8038318588278",restaurant,3,0,"3,8"
4,"-6.223532554654862, 106.80367558239092",street,5,4,0
5,"-6.222697761835652, 106.80300342889895",street,6,6,0
6,"-6.222518348166061, 106.80264642328511",street,7,4,0
7,"-6.221602079512995, 106.80037267061935",street,1,19,0
8,"-6.224454624798337, 106.80449433342268",street,9,2,"11"
9,"-6.224778393660263, 106.80474553937964",street,10,4,"11"
10,"-6.224541414203724, 106.8050818653351",street,11,4,"11"
11,"-6.224818808750695, 106.80526481187131",restaurant,0,0,"11"
12,"-6.223484032616657, 106.80372933111389",street,3,23,"0"
