id,loc,type,dest,dist,chain
0,"-6.2244941851538576, 106.80443493777844",street,"1, 9","4.7, 4","3,8,21"
1,"-6.224072816430017, 106.80408518180998",street,2,4,"3,8"
2,"-6.223906665421917, 106.80395734676787",street,"3,4","3.2,3","3,8"
3,"-6.2239937293205845, 106.8038318588278",restaurant,3,0,"3,8"
4,"-6.223532554654862, 106.80367558239092",street,5,11,0
5,"-6.222697761835652, 106.80300342889895",street,6,6,0
6,"-6.222518348166061, 106.80264642328511",street,"7, 25","4, 260",25
7,"-6.221602079512995, 106.80037267061935",street, 25,999,25
8,"-6.223957548504649, 106.80409247043677",street,9,2,0
9,"-6.224778393660263, 106.80474553937964",street,"10,22","4,30",21
10,"-6.224541414203724, 106.8050818653351",street,11,4,21
11,"-6.223414, 106.806915",street,12,6,21
12,"-6.219051, 106.812735",street,13,1,21
13,"-6.218372, 106.812971",street,14,1,21
14,"-6.218168, 106.812427",street,15,1,21
15,"-6.218713, 106.812209",street,16,2,21
16,"-6.219769, 106.812903",street,17,1,21
17,"-6.219901, 106.813512",street,18,1,21
18,"-6.219329, 106.813597",street,19,1,21
19,"-6.219134, 106.813007",street,20,1,21
20,"-6.2221407, 106.8091939",street,"21,41","6,8","21,43"
21,"-6.224818808750695, 106.80526481187131",restaurant,"21,29","3,5","21,30"
22,"-6.2250598, 106.8044627",street,23,1,24
23,"-6.2253646, 106.8040101",street,"24,26","1,90","24,27,28"
24,"-6.2246691, 106.8039106",university,1,1,24
25,"-6.2201269, 106.8026587",recreational,"25,47","260,25","25,47"
26,"-6.2287659, 106.7996553",street, 27,2,28
27,"-6.2287787, 106.7986757",recreational,28,2,28
28,"-6.2289676, 106.7967734",university,"28,36,44","2,5,7","28,36,46"
29,"-6.2264978, 106.8063931",street,"30, 31","2, 4","30, 34"
30,"-6.2274054, 106.8056998",recreational, 30, 2, 30
31,"-6.2259891, 106.8073635",street,32,2,34
32,"-6.2259074, 106.8080664",street,33,2,34
33,"-6.2270452, 106.8079845",street,34,2,34
34,"-6.2269371, 106.8072751",recreational,"34,35","2,4","34,35"
35,"-6.226753, 106.8068015",recreational,35,2,35
36,"-6.2280283, 106.7969028",mall,"36,37","2,4","36,40"
37,"-6.2280222, 106.797873",street,38,2,40
38,"-6.227172, 106.79791",street,39,2,40
39,"-6.2269432, 106.7982361",street,40,2,40
40,"-6.2266316, 106.798705",mall,40,1,40
41,"-6.2229185, 106.8094108",street,42,1,43
42,"-6.2234489, 106.8101415",street,43,1,43
43,"-6.2249389, 106.8104908",mall,43,1,43
44,"-6.2292576, 106.7968725",street,"45,48,49","1,5,8","46,48,55"
45,"-6.2292544, 106.79639",restaurant,46,1,46
46,"-6.2289166, 106.7962499",university,46,1,46
47,"-6.2196342, 106.8020468",restaurant,47,1,47
48,"-6.2294676, 106.7965506",restaurant,48,1,48
49,"-6.22934, 106.7974732",street,50,1,53
50,"-6.2316293, 106.7975212",street,51,1,55
51,"-6.2315293, 106.7969754",street,52,1,55
52,"-6.2305645, 106.7960522",street,53,1,55
53,"-6.2298484, 106.7963294",street,54,1,55
54,"-6.2298394, 106.7968609",street,55,1,55
55,"-6.2296823, 106.7968823",recreational,55,1,55
