id,loc,type,dest,dist,chain
0,"-6.2244941851538576, 106.80443493777844",street,"1, 9","86, 40","3,8,21"
1,"-6.224072816430017, 106.80408518180998",street,2,25,"3,8"
2,"-6.223906665421917, 106.80395734676787",street,"3,4","17,53","3,8"
3,"-6.2239937293205845, 106.8038318588278",restaurant,3,0,"3,8"
4,"-6.223532554654862, 106.80367558239092",street,5,120,0
5,"-6.222697761835652, 106.80300342889895",street,6,42,0
6,"-6.222518348166061, 106.80264642328511",street,"7, 25","270, 270",25
7,"-6.221602079512995, 106.80037267061935",street, 25,310,25
8,"-6.223957548504649, 106.80409247043677",street,9,2,0
9,"-6.224778393660263, 106.80474553937964",street,"10,22","46,43",21
10,"-6.224541414203724, 106.8050818653351",street,11,240,21
11,"-6.223414, 106.806915",street,12,808,21
12,"-6.219051, 106.812735",street,13,81,21
13,"-6.218372, 106.812971",street,14,64,21
14,"-6.218168, 106.812427",street,15,64,21
15,"-6.218713, 106.812209",street,16,140,21
16,"-6.219769, 106.812903",street,17,70,21
17,"-6.219901, 106.813512",street,18,63,21
18,"-6.219329, 106.813597",street,19,71,21
19,"-6.219134, 106.813007",street,20,535,21
20,"-6.2221407, 106.8091939",street,"21,41","452,101","21,43"
21,"-6.224818808750695, 106.80526481187131",restaurant,"21,29","3,219","21,30"
22,"-6.2250598, 106.8044627",street,23,64,24
23,"-6.2253646, 106.8040101",street,"24,26","77,608","24,27,28"
24,"-6.2246691, 106.8039106",university,1,1,24
25,"-6.2201269, 106.8026587",recreational,"25,47","260,88","25,47"
26,"-6.2287659, 106.7996553",street, 27,108,28
27,"-6.2287787, 106.7986757",recreational,28,212,28
28,"-6.2289676, 106.7967734",university,"28,36,44","2,108,38","28,36,46"
29,"-6.2264978, 106.8063931",street,"30, 31","124, 125","30, 34"
30,"-6.2274054, 106.8056998",recreational, 30, 2, 30
31,"-6.2259891, 106.8073635",street,32,76,34
32,"-6.2259074, 106.8080664",street,33,122,34
33,"-6.2270452, 106.8079845",street,34,78,34
34,"-6.2269371, 106.8072751",recreational,"34,35","0,50","34,35"
35,"-6.226753, 106.8068015",recreational,35,2,35
36,"-6.2280283, 106.7969028",mall,"36,37","2,100","36,40"
37,"-6.2280222, 106.797873",street,38,94,40
38,"-6.227172, 106.79791",street,39,46,40
39,"-6.2269432, 106.7982361",street,40,59,40
40,"-6.2266316, 106.798705",mall,40,1,40
41,"-6.2229185, 106.8094108",street,42,97,43
42,"-6.2234489, 106.8101415",street,43,167,43
43,"-6.2249389, 106.8104908",mall,43,1,43
44,"-6.2292576, 106.7968725",street,"45,48,49","53,40,64","46,48,55"
45,"-6.2292544, 106.79639",restaurant,46,45,46
46,"-6.2289166, 106.7962499",university,46,1,46
47,"-6.2196342, 106.8020468",restaurant,47,1,47
48,"-6.2294676, 106.7965506",restaurant,48,1,48
49,"-6.22934, 106.7974732",street,50,251,53
50,"-6.2316293, 106.7975212",street,51,62,55
51,"-6.2315293, 106.7969754",street,52,151,55
52,"-6.2305645, 106.7960522",street,53,78,55
53,"-6.2298484, 106.7963294",street,54,52,55
54,"-6.2298394, 106.7968609",street,55,17,55
55,"-6.2296823, 106.7968823",recreational,55,1,55
56,"-6.2298394, 106.7968609",street,57,17,55
57,"-6.2298394, 106.7968609",street,58,17,55
58,"-6.2298394, 106.7968609",street,59,17,55
59,"-6.2298394, 106.7968609",street,60,17,55
60,"-6.2298394, 106.7968609",street,61,17,55
61,"-6.2298394, 106.7968609",street,62,17,55
62,"-6.2298394, 106.7968609",street,63,17,55
63,"-6.2298394, 106.7968609",street,64,17,55
64,"-6.2298394, 106.7968609",street,65,17,55
65,"-6.2298394, 106.7968609",street,66,17,55
66,"-6.2298394, 106.7968609",street,67,17,55
67,"-6.2298394, 106.7968609",street,68,17,55
68,"-6.2298394, 106.7968609",street,69,17,55
69,"-6.2298394, 106.7968609",street,70,17,55
70,"-6.2298394, 106.7968609",street,71,17,55
71,"-6.2298394, 106.7968609",street,72,17,55
72,"-6.2298394, 106.7968609",street,73,17,55
73,"-6.2298394, 106.7968609",street,74,17,55
74,"-6.2298394, 106.7968609",street,75,17,55
75,"-6.2298394, 106.7968609",street,76,17,55
76,"-6.2298394, 106.7968609",street,77,17,55
77,"-6.2298394, 106.7968609",street,78,17,55
78,"-6.2298394, 106.7968609",street,79,17,55
79,"-6.2298394, 106.7968609",street,80,17,55
80,"-6.2298394, 106.7968609",street,81,17,55
81,"-6.2298394, 106.7968609",street,82,17,55
82,"-6.2298394, 106.7968609",street,83,17,55
83,"-6.2298394, 106.7968609",street,84,17,55
84,"-6.2298394, 106.7968609",street,85,17,55
85,"-6.2298394, 106.7968609",street,86,17,55
86,"-6.2298394, 106.7968609",street,87,17,55
87,"-6.2298394, 106.7968609",street,88,17,55
88,"-6.2298394, 106.7968609",street,89,17,55
89,"-6.2298394, 106.7968609",street,90,17,55
90,"-6.2298394, 106.7968609",street,91,17,55
91,"-6.2298394, 106.7968609",street,92,17,55
92,"-6.2298394, 106.7968609",street,93,17,55
93,"-6.2298394, 106.7968609",street,94,17,55
94,"-6.2298394, 106.7968609",street,95,17,55
95,"-6.2298394, 106.7968609",street,96,17,55
96,"-6.2298394, 106.7968609",street,97,17,55
97,"-6.2298394, 106.7968609",street,98,17,55
98,"-6.2298394, 106.7968609",street,99,17,55
99,"-6.2298394, 106.7968609",street,100,17,55
100,"-6.2298394, 106.7968609",street,100,17,55
101,"-6.2298394, 106.7968609",street,102,17,55
102,"-6.2298394, 106.7968609",street,103,17,55
103,"-6.2298394, 106.7968609",street,104,17,55
104,"-6.2298394, 106.7968609",street,105,17,55
105,"-6.2298394, 106.7968609",street,106,17,55
106,"-6.2298394, 106.7968609",street,107,17,55
107,"-6.2298394, 106.7968609",street,108,17,55
108,"-6.2298394, 106.7968609",street,109,17,55
109,"-6.2298394, 106.7968609",street,110,17,55
110,"-6.2298394, 106.7968609",street,111,17,55
111,"-6.2298394, 106.7968609",street,112,17,55
112,"-6.2298394, 106.7968609",street,113,17,55
113,"-6.2298394, 106.7968609",street,114,17,55
114,"-6.2298394, 106.7968609",street,115,17,55
115,"-6.2298394, 106.7968609",street,116,17,55
116,"-6.2298394, 106.7968609",street,117,17,55
117,"-6.2298394, 106.7968609",street,118,17,55
118,"-6.2298394, 106.7968609",street,119,17,55
119,"-6.2298394, 106.7968609",street,120,17,55
120,"-6.2298394, 106.7968609",street,121,17,55
121,"-6.2298394, 106.7968609",street,122,17,55
122,"-6.2298394, 106.7968609",street,123,17,55
123,"-6.2298394, 106.7968609",street,124,17,55
